Intended Graduate Major,VR: 130 - 134,VR: 135 - 139,VR: 140 - 144,VR: 145 - 149,VR: 150 - 154,VR: 155 - 159,VR: 160 - 164,VR: 165 - 169,VR: 170,VR: N,VR: Mean,VR: SD,QR: 130 - 134,QR: 135 - 139,QR: 140 - 144,QR: 145 - 149,QR: 150 - 154,QR: 155 - 159,QR: 160 - 164,QR: 165 - 169,QR: 170,QR: N,QR: Mean,QR: SD,AW: 0,AW: 0.5 & 1,AW: 1.5 & 2,AW: 2.5 & 3,AW: 3.5 & 4,AW: 4.5 & 5,AW: 5.5 & 6,AW: N,AW: Mean,AW: SD
"45: Education, Other",2.6,5.8,9.8,17.2,20.2,20.5,15.5,7.2,1.1,2646.0,153.0,9.0,2.3,8.2,14.2,19.2,17.0,14.1,11.8,10.0,3.0,2647.0,152.0,10.0,0.0,0.8,4.9,21.1,44.2,24.3,4.6,2647.0,3.8,0.9
46: BUSINESS,2.1,4.9,9.5,15.9,23.1,20.8,16.0,7.1,0.7,63750.0,153.0,8.0,0.6,1.9,4.8,8.8,13.1,16.1,18.8,25.2,10.8,63828.0,159.0,9.0,0.1,0.4,3.3,29.4,45.9,17.7,3.2,63598.0,3.7,0.8
47: Accounting,3.8,6.8,11.1,16.1,23.0,17.5,15.1,5.9,0.7,3065.0,152.0,9.0,0.8,1.7,4.4,7.3,9.4,9.6,16.2,34.1,16.6,3065.0,161.0,9.0,0.0,0.7,5.3,41.8,43.0,8.5,0.7,3057.0,3.4,0.7
48: Banking & Finance,2.0,4.9,9.1,14.8,23.7,20.4,16.7,7.8,0.6,15566.0,153.0,8.0,0.1,0.7,1.9,4.2,7.5,11.5,17.0,36.6,20.5,15608.0,163.0,7.0,0.0,0.3,3.2,34.6,50.1,10.5,1.2,15546.0,3.5,0.7
49: Business Admin & Management,1.7,3.5,7.2,13.9,21.2,23.5,19.3,8.7,1.0,21395.0,154.0,8.0,0.9,2.8,6.9,12.2,17.6,19.9,19.5,15.6,4.5,21410.0,156.0,9.0,0.1,0.4,3.0,20.0,41.6,28.3,6.5,21317.0,3.9,0.9
"50: Business, Other",2.3,5.8,11.5,18.4,24.5,19.1,12.7,5.2,0.4,23724.0,152.0,8.0,0.6,1.9,4.8,8.9,13.1,16.6,19.6,25.1,9.3,23745.0,159.0,9.0,0.0,0.4,3.4,32.7,47.3,14.2,2.0,23678.0,3.6,0.8
51: LAW,1.7,3.6,8.8,14.1,18.8,21.3,17.5,12.0,2.2,2535.0,155.0,9.0,2.6,7.1,13.4,16.0,18.4,16.6,12.5,10.1,3.3,2536.0,152.0,10.0,0.0,0.6,3.0,17.9,35.5,32.6,10.5,2534.0,4.1,1.0
52: OTHER FIELDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85411.0,0.0,0.0
53: Architecture & Environmental Design,2.8,5.9,11.8,18.0,22.7,20.5,12.6,5.0,0.7,4510.0,152.0,8.0,0.7,2.3,6.7,14.6,19.6,18.2,16.7,16.3,4.9,4522.0,156.0,9.0,0.1,0.4,3.8,31.0,44.1,18.0,2.7,4495.0,3.6,0.8
54: Communications & Journalism,2.5,5.9,12.5,18.4,22.7,19.8,12.5,5.3,0.4,4029.0,152.0,8.0,2.7,7.9,13.1,15.9,13.9,12.3,13.2,14.7,6.4,4025.0,153.0,11.0,0.0,0.3,3.0,25.7,49.0,19.3,2.7,4028.0,3.7,0.8
55: Family & Consumer Sciences,2.5,8.4,14.0,25.6,25.4,15.6,7.2,1.3,0.0,558.0,149.0,7.0,2.9,8.8,21.0,27.2,21.9,10.6,4.7,2.7,0.4,558.0,148.0,8.0,0.0,0.7,4.8,22.2,47.1,24.2,0.9,558.0,3.7,0.8
56: Library & Archival Sciences,1.1,2.2,2.8,10.8,16.9,28.6,21.4,14.2,1.9,360.0,157.0,8.0,2.2,3.3,17.5,23.6,24.2,14.7,7.8,5.0,1.7,360.0,151.0,8.0,0.0,0.3,2.2,16.7,47.2,28.9,4.7,360.0,4.0,0.8
57: Public Administration,1.2,2.7,7.7,14.1,21.3,24.1,19.0,9.1,0.8,1647.0,155.0,8.0,1.6,5.9,11.8,17.6,20.8,18.4,11.9,9.6,2.3,1645.0,153.0,9.0,0.1,0.4,2.4,18.1,41.7,30.6,6.8,1643.0,4.0,0.9
58: Religion & Theology,1.4,1.9,3.8,8.4,15.5,26.9,23.6,15.0,3.4,580.0,157.0,8.0,2.1,7.3,12.8,18.9,27.7,16.8,9.2,5.2,0.2,578.0,151.0,8.0,0.0,0.2,1.0,8.9,36.6,42.3,11.0,582.0,4.3,0.8
59: Social Work,2.7,7.1,14.3,20.2,22.1,19.2,9.8,4.2,0.5,1188.0,151.0,8.0,4.6,13.5,21.1,24.3,20.3,9.4,4.3,1.9,0.6,1185.0,147.0,8.0,0.0,0.9,6.1,23.8,42.8,23.5,2.9,1190.0,3.7,0.9
"60: Other Fields, Other*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72555.0,0.0,0.0
61: GRAND TOTAL,2.02,5.01,10.65,19.11,25.81,20.26,11.97,4.62,0.52,506250.0,151.8,1.78,0.85,3.32,8.42,14.39,16.44,14.86,16.07,19.45,6.16,506803.0,156.1,5.75,0.01,0.49,4.38,28.9,44.51,19.01,2.69,505759.0,3.66,0.26
62: ETS-Provided Population,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039310.0,151.29,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041330.0,156.93,9.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037639.0,3.49,0.88
